,Component-value,Component-alias,Demographic-value,Demographic-alias,Month (abbv)-value,Month (abbv)-alias,SUM(Encounter Count)-alias,ATTR(Demographic (copy))-alias,Citizenship Grouping,Title of Authority
32,Office of Field Operations,Office of Field Operations,FMUA,FMUA,MAY,MAY,278,Individuals in a Family Unit (FMUA),El Salvador,Title 8
33,Office of Field Operations,Office of Field Operations,FMUA,FMUA,APR,APR,89,Individuals in a Family Unit (FMUA),El Salvador,Title 8
34,Office of Field Operations,Office of Field Operations,FMUA,FMUA,MAR,MAR,13,Individuals in a Family Unit (FMUA),El Salvador,Title 8
35,Office of Field Operations,Office of Field Operations,FMUA,FMUA,FEB,FEB,11,Individuals in a Family Unit (FMUA),El Salvador,Title 8
36,Office of Field Operations,Office of Field Operations,FMUA,FMUA,JAN,JAN,4,Individuals in a Family Unit (FMUA),El Salvador,Title 8
37,Office of Field Operations,Office of Field Operations,FMUA,FMUA,DEC,DEC,5,Individuals in a Family Unit (FMUA),El Salvador,Title 8
38,Office of Field Operations,Office of Field Operations,FMUA,FMUA,NOV,NOV,4,Individuals in a Family Unit (FMUA),El Salvador,Title 8
39,Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,%all%,%all%,646,Single Adults,El Salvador,Title 8
40,Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,AUG,AUG,190,Single Adults,El Salvador,Title 8
41,Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,JUL,JUL,130,Single Adults,El Salvador,Title 8
42,Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,JUN,JUN,116,Single Adults,El Salvador,Title 8
43,Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,MAY,MAY,90,Single Adults,El Salvador,Title 8
44,Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,APR,APR,65,Single Adults,El Salvador,Title 8
45,Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,MAR,MAR,12,Single Adults,El Salvador,Title 8
46,Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,FEB,FEB,12,Single Adults,El Salvador,Title 8
47,Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,JAN,JAN,10,Single Adults,El Salvador,Title 8
48,Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,DEC,DEC,9,Single Adults,El Salvador,Title 8
49,Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,NOV,NOV,6,Single Adults,El Salvador,Title 8
50,Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,OCT,OCT,6,Single Adults,El Salvador,Title 8
51,U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,%all%,%all%,34394,%many-values%,El Salvador,Title 8
52,U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,AUG,AUG,6981,%many-values%,El Salvador,Title 8
53,U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,JUL,JUL,6581,%many-values%,El Salvador,Title 8
54,U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,JUN,JUN,4885,%many-values%,El Salvador,Title 8
55,U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,MAY,MAY,4119,%many-values%,El Salvador,Title 8
56,U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,APR,APR,4592,%many-values%,El Salvador,Title 8
57,U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,MAR,MAR,3699,%many-values%,El Salvador,Title 8
58,U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,FEB,FEB,1700,%many-values%,El Salvador,Title 8
59,U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,JAN,JAN,618,%many-values%,El Salvador,Title 8
60,U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,DEC,DEC,482,%many-values%,El Salvador,Title 8
61,U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,NOV,NOV,394,%many-values%,El Salvador,Title 8
62,U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,OCT,OCT,343,%many-values%,El Salvador,Title 8
63,U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,%all%,%all%,13388,Unaccompanied Children (UC) / Single Minors,El Salvador,Title 8
64,U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,AUG,AUG,2105,Unaccompanied Children (UC) / Single Minors,El Salvador,Title 8
65,U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,JUL,JUL,2111,Unaccompanied Children (UC) / Single Minors,El Salvador,Title 8
66,U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,JUN,JUN,1840,Unaccompanied Children (UC) / Single Minors,El Salvador,Title 8
67,U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,MAY,MAY,1658,Unaccompanied Children (UC) / Single Minors,El Salvador,Title 8
68,U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,APR,APR,2089,Unaccompanied Children (UC) / Single Minors,El Salvador,Title 8
69,U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,MAR,MAR,1580,Unaccompanied Children (UC) / Single Minors,El Salvador,Title 8
70,U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,FEB,FEB,767,Unaccompanied Children (UC) / Single Minors,El Salvador,Title 8
71,U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,JAN,JAN,386,Unaccompanied Children (UC) / Single Minors,El Salvador,Title 8
72,U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,DEC,DEC,355,Unaccompanied Children (UC) / Single Minors,El Salvador,Title 8
73,U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,NOV,NOV,280,Unaccompanied Children (UC) / Single Minors,El Salvador,Title 8
74,U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,OCT,OCT,217,Unaccompanied Children (UC) / Single Minors,El Salvador,Title 8
75,U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,%all%,%all%,19274,Individuals in a Family Unit (FMUA),El Salvador,Title 8
76,U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,AUG,AUG,4655,Individuals in a Family Unit (FMUA),El Salvador,Title 8
77,U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,JUL,JUL,4256,Individuals in a Family Unit (FMUA),El Salvador,Title 8
78,U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,JUN,JUN,2853,Individuals in a Family Unit (FMUA),El Salvador,Title 8
79,U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,MAY,MAY,2245,Individuals in a Family Unit (FMUA),El Salvador,Title 8
80,U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,APR,APR,2324,Individuals in a Family Unit (FMUA),El Salvador,Title 8
81,U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,MAR,MAR,1968,Individuals in a Family Unit (FMUA),El Salvador,Title 8
82,U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,FEB,FEB,815,Individuals in a Family Unit (FMUA),El Salvador,Title 8
83,U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,JAN,JAN,124,Individuals in a Family Unit (FMUA),El Salvador,Title 8
84,U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,DEC,DEC,19,Individuals in a Family Unit (FMUA),El Salvador,Title 8
85,U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,NOV,NOV,1,Individuals in a Family Unit (FMUA),El Salvador,Title 8
86,U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,OCT,OCT,14,Individuals in a Family Unit (FMUA),El Salvador,Title 8
87,U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,%all%,%all%,1732,Single Adults,El Salvador,Title 8
88,U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,AUG,AUG,221,Single Adults,El Salvador,Title 8
89,U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,JUL,JUL,214,Single Adults,El Salvador,Title 8
90,U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,JUN,JUN,192,Single Adults,El Salvador,Title 8
91,U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,MAY,MAY,216,Single Adults,El Salvador,Title 8
92,U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,APR,APR,179,Single Adults,El Salvador,Title 8
93,U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,MAR,MAR,151,Single Adults,El Salvador,Title 8
94,U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,FEB,FEB,118,Single Adults,El Salvador,Title 8
95,U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,JAN,JAN,108,Single Adults,El Salvador,Title 8
96,U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,DEC,DEC,108,Single Adults,El Salvador,Title 8
97,U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,NOV,NOV,113,Single Adults,El Salvador,Title 8
98,U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,OCT,OCT,112,Single Adults,El Salvador,Title 8
99,%all%,%all%,%all%,%all%,%all%,%all%,36796,%many-values%,El Salvador,Title 8
100,%all%,%all%,%all%,%all%,AUG,AUG,7688,%many-values%,El Salvador,Title 8
101,%all%,%all%,%all%,%all%,JUL,JUL,7122,%many-values%,El Salvador,Title 8
102,%all%,%all%,%all%,%all%,JUN,JUN,5388,%many-values%,El Salvador,Title 8
103,%all%,%all%,%all%,%all%,MAY,MAY,4501,%many-values%,El Salvador,Title 8
104,%all%,%all%,%all%,%all%,APR,APR,4751,%many-values%,El Salvador,Title 8
105,%all%,%all%,%all%,%all%,MAR,MAR,3724,%many-values%,El Salvador,Title 8
106,%all%,%all%,%all%,%all%,FEB,FEB,1726,%many-values%,El Salvador,Title 8
107,%all%,%all%,%all%,%all%,JAN,JAN,637,%many-values%,El Salvador,Title 8
108,%all%,%all%,%all%,%all%,DEC,DEC,497,%many-values%,El Salvador,Title 8
109,%all%,%all%,%all%,%all%,NOV,NOV,409,%many-values%,El Salvador,Title 8
110,%all%,%all%,%all%,%all%,OCT,OCT,353,%many-values%,El Salvador,Title 8
0,Office of Field Operations,Office of Field Operations,%all%,%all%,%all%,%all%,263,%many-values%,El Salvador,Title 42
1,Office of Field Operations,Office of Field Operations,%all%,%all%,AUG,AUG,11,Single Adults,El Salvador,Title 42
2,Office of Field Operations,Office of Field Operations,%all%,%all%,JUL,JUL,21,%many-values%,El Salvador,Title 42
3,Office of Field Operations,Office of Field Operations,%all%,%all%,JUN,JUN,24,%many-values%,El Salvador,Title 42
4,Office of Field Operations,Office of Field Operations,%all%,%all%,MAY,MAY,29,%many-values%,El Salvador,Title 42
5,Office of Field Operations,Office of Field Operations,%all%,%all%,APR,APR,41,%many-values%,El Salvador,Title 42
6,Office of Field Operations,Office of Field Operations,%all%,%all%,MAR,MAR,27,%many-values%,El Salvador,Title 42
7,Office of Field Operations,Office of Field Operations,%all%,%all%,FEB,FEB,11,%many-values%,El Salvador,Title 42
8,Office of Field Operations,Office of Field Operations,%all%,%all%,JAN,JAN,28,Single Adults,El Salvador,Title 42
9,Office of Field Operations,Office of Field Operations,%all%,%all%,DEC,DEC,24,%many-values%,El Salvador,Title 42
10,Office of Field Operations,Office of Field Operations,%all%,%all%,NOV,NOV,28,%many-values%,El Salvador,Title 42
11,Office of Field Operations,Office of Field Operations,%all%,%all%,OCT,OCT,19,%many-values%,El Salvador,Title 42
12,Office of Field Operations,Office of Field Operations,Accompanied Minors,AM,%all%,%all%,23,Accompanied Minors (AM),El Salvador,Title 42
13,Office of Field Operations,Office of Field Operations,Accompanied Minors,AM,JUL,JUL,3,Accompanied Minors (AM),El Salvador,Title 42
14,Office of Field Operations,Office of Field Operations,Accompanied Minors,AM,JUN,JUN,4,Accompanied Minors (AM),El Salvador,Title 42
15,Office of Field Operations,Office of Field Operations,Accompanied Minors,AM,MAY,MAY,4,Accompanied Minors (AM),El Salvador,Title 42
16,Office of Field Operations,Office of Field Operations,Accompanied Minors,AM,APR,APR,2,Accompanied Minors (AM),El Salvador,Title 42
17,Office of Field Operations,Office of Field Operations,Accompanied Minors,AM,MAR,MAR,4,Accompanied Minors (AM),El Salvador,Title 42
18,Office of Field Operations,Office of Field Operations,Accompanied Minors,AM,FEB,FEB,1,Accompanied Minors (AM),El Salvador,Title 42
19,Office of Field Operations,Office of Field Operations,Accompanied Minors,AM,DEC,DEC,2,Accompanied Minors (AM),El Salvador,Title 42
20,Office of Field Operations,Office of Field Operations,Accompanied Minors,AM,NOV,NOV,2,Accompanied Minors (AM),El Salvador,Title 42
21,Office of Field Operations,Office of Field Operations,Accompanied Minors,AM,OCT,OCT,1,Accompanied Minors (AM),El Salvador,Title 42
22,Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,%all%,%all%,240,Single Adults,El Salvador,Title 42
23,Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,AUG,AUG,11,Single Adults,El Salvador,Title 42
24,Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,JUL,JUL,18,Single Adults,El Salvador,Title 42
25,Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,JUN,JUN,20,Single Adults,El Salvador,Title 42
26,Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,MAY,MAY,25,Single Adults,El Salvador,Title 42
27,Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,APR,APR,39,Single Adults,El Salvador,Title 42
28,Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,MAR,MAR,23,Single Adults,El Salvador,Title 42
29,Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,FEB,FEB,10,Single Adults,El Salvador,Title 42
30,Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,JAN,JAN,28,Single Adults,El Salvador,Title 42
31,Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,DEC,DEC,22,Single Adults,El Salvador,Title 42
32,Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,NOV,NOV,26,Single Adults,El Salvador,Title 42
33,Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,OCT,OCT,18,Single Adults,El Salvador,Title 42
34,U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,%all%,%all%,50643,%many-values%,El Salvador,Title 42
35,U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,AUG,AUG,4957,%many-values%,El Salvador,Title 42
36,U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,JUL,JUL,5577,%many-values%,El Salvador,Title 42
37,U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,JUN,JUN,6169,%many-values%,El Salvador,Title 42
38,U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,MAY,MAY,5932,%many-values%,El Salvador,Title 42
39,U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,APR,APR,6251,%many-values%,El Salvador,Title 42
40,U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,MAR,MAR,5724,%many-values%,El Salvador,Title 42
41,U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,FEB,FEB,3863,%many-values%,El Salvador,Title 42
42,U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,JAN,JAN,2915,%many-values%,El Salvador,Title 42
43,U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,DEC,DEC,3400,%many-values%,El Salvador,Title 42
44,U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,NOV,NOV,3213,%many-values%,El Salvador,Title 42
45,U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,OCT,OCT,2642,%many-values%,El Salvador,Title 42
46,U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,%all%,%all%,182,Unaccompanied Children (UC) / Single Minors,El Salvador,Title 42
47,U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,AUG,AUG,1,Unaccompanied Children (UC) / Single Minors,El Salvador,Title 42
48,U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,APR,APR,1,Unaccompanied Children (UC) / Single Minors,El Salvador,Title 42
49,U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,NOV,NOV,64,Unaccompanied Children (UC) / Single Minors,El Salvador,Title 42
50,U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,OCT,OCT,116,Unaccompanied Children (UC) / Single Minors,El Salvador,Title 42
51,U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,%all%,%all%,11692,Individuals in a Family Unit (FMUA),El Salvador,Title 42
52,U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,AUG,AUG,1382,Individuals in a Family Unit (FMUA),El Salvador,Title 42
53,U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,JUL,JUL,1323,Individuals in a Family Unit (FMUA),El Salvador,Title 42
54,U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,JUN,JUN,1151,Individuals in a Family Unit (FMUA),El Salvador,Title 42
55,U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,MAY,MAY,950,Individuals in a Family Unit (FMUA),El Salvador,Title 42
56,U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,APR,APR,1979,Individuals in a Family Unit (FMUA),El Salvador,Title 42
57,U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,MAR,MAR,2152,Individuals in a Family Unit (FMUA),El Salvador,Title 42
58,U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,FEB,FEB,1023,Individuals in a Family Unit (FMUA),El Salvador,Title 42
59,U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,JAN,JAN,380,Individuals in a Family Unit (FMUA),El Salvador,Title 42
60,U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,DEC,DEC,426,Individuals in a Family Unit (FMUA),El Salvador,Title 42
61,U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,NOV,NOV,412,Individuals in a Family Unit (FMUA),El Salvador,Title 42
62,U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,OCT,OCT,514,Individuals in a Family Unit (FMUA),El Salvador,Title 42
63,U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,%all%,%all%,38769,Single Adults,El Salvador,Title 42
64,U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,AUG,AUG,3574,Single Adults,El Salvador,Title 42
65,U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,JUL,JUL,4254,Single Adults,El Salvador,Title 42
66,U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,JUN,JUN,5018,Single Adults,El Salvador,Title 42
67,U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,MAY,MAY,4982,Single Adults,El Salvador,Title 42
68,U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,APR,APR,4271,Single Adults,El Salvador,Title 42
69,U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,MAR,MAR,3572,Single Adults,El Salvador,Title 42
70,U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,FEB,FEB,2840,Single Adults,El Salvador,Title 42
71,U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,JAN,JAN,2535,Single Adults,El Salvador,Title 42
72,U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,DEC,DEC,2974,Single Adults,El Salvador,Title 42
73,U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,NOV,NOV,2737,Single Adults,El Salvador,Title 42
74,U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,OCT,OCT,2012,Single Adults,El Salvador,Title 42
75,%all%,%all%,%all%,%all%,%all%,%all%,50906,%many-values%,El Salvador,Title 42
76,%all%,%all%,%all%,%all%,AUG,AUG,4968,%many-values%,El Salvador,Title 42
77,%all%,%all%,%all%,%all%,JUL,JUL,5598,%many-values%,El Salvador,Title 42
78,%all%,%all%,%all%,%all%,JUN,JUN,6193,%many-values%,El Salvador,Title 42
79,%all%,%all%,%all%,%all%,MAY,MAY,5961,%many-values%,El Salvador,Title 42
80,%all%,%all%,%all%,%all%,APR,APR,6292,%many-values%,El Salvador,Title 42
81,%all%,%all%,%all%,%all%,MAR,MAR,5751,%many-values%,El Salvador,Title 42
82,%all%,%all%,%all%,%all%,FEB,FEB,3874,%many-values%,El Salvador,Title 42
83,%all%,%all%,%all%,%all%,JAN,JAN,2943,%many-values%,El Salvador,Title 42
84,%all%,%all%,%all%,%all%,DEC,DEC,3424,%many-values%,El Salvador,Title 42
85,%all%,%all%,%all%,%all%,NOV,NOV,3241,%many-values%,El Salvador,Title 42
86,%all%,%all%,%all%,%all%,OCT,OCT,2661,%many-values%,El Salvador,Title 42
0,Office of Field Operations,Office of Field Operations,%all%,%all%,%all%,%all%,3876,%many-values%,Guatemala,all
1,Office of Field Operations,Office of Field Operations,%all%,%all%,AUG,AUG,892,%many-values%,Guatemala,all
2,Office of Field Operations,Office of Field Operations,%all%,%all%,JUL,JUL,794,%many-values%,Guatemala,all
3,Office of Field Operations,Office of Field Operations,%all%,%all%,JUN,JUN,823,%many-values%,Guatemala,all
4,Office of Field Operations,Office of Field Operations,%all%,%all%,MAY,MAY,606,%many-values%,Guatemala,all
5,Office of Field Operations,Office of Field Operations,%all%,%all%,APR,APR,271,%many-values%,Guatemala,all
6,Office of Field Operations,Office of Field Operations,%all%,%all%,MAR,MAR,139,%many-values%,Guatemala,all
7,Office of Field Operations,Office of Field Operations,%all%,%all%,FEB,FEB,125,%many-values%,Guatemala,all
8,Office of Field Operations,Office of Field Operations,%all%,%all%,JAN,JAN,55,%many-values%,Guatemala,all
9,Office of Field Operations,Office of Field Operations,%all%,%all%,DEC,DEC,60,%many-values%,Guatemala,all
10,Office of Field Operations,Office of Field Operations,%all%,%all%,NOV,NOV,44,%many-values%,Guatemala,all
11,Office of Field Operations,Office of Field Operations,%all%,%all%,OCT,OCT,67,%many-values%,Guatemala,all
12,Office of Field Operations,Office of Field Operations,Accompanied Minors,AM,%all%,%all%,59,Accompanied Minors (AM),Guatemala,all
13,Office of Field Operations,Office of Field Operations,Accompanied Minors,AM,AUG,AUG,7,Accompanied Minors (AM),Guatemala,all
14,Office of Field Operations,Office of Field Operations,Accompanied Minors,AM,JUL,JUL,3,Accompanied Minors (AM),Guatemala,all
15,Office of Field Operations,Office of Field Operations,Accompanied Minors,AM,JUN,JUN,3,Accompanied Minors (AM),Guatemala,all
16,Office of Field Operations,Office of Field Operations,Accompanied Minors,AM,MAY,MAY,2,Accompanied Minors (AM),Guatemala,all
17,Office of Field Operations,Office of Field Operations,Accompanied Minors,AM,APR,APR,7,Accompanied Minors (AM),Guatemala,all
18,Office of Field Operations,Office of Field Operations,Accompanied Minors,AM,MAR,MAR,7,Accompanied Minors (AM),Guatemala,all
19,Office of Field Operations,Office of Field Operations,Accompanied Minors,AM,FEB,FEB,11,Accompanied Minors (AM),Guatemala,all
20,Office of Field Operations,Office of Field Operations,Accompanied Minors,AM,JAN,JAN,1,Accompanied Minors (AM),Guatemala,all
21,Office of Field Operations,Office of Field Operations,Accompanied Minors,AM,DEC,DEC,3,Accompanied Minors (AM),Guatemala,all
22,Office of Field Operations,Office of Field Operations,Accompanied Minors,AM,NOV,NOV,3,Accompanied Minors (AM),Guatemala,all
23,Office of Field Operations,Office of Field Operations,Accompanied Minors,AM,OCT,OCT,12,Accompanied Minors (AM),Guatemala,all
24,Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,%all%,%all%,179,Unaccompanied Children (UC) / Single Minors,Guatemala,all
25,Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,AUG,AUG,14,Unaccompanied Children (UC) / Single Minors,Guatemala,all
26,Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,JUL,JUL,11,Unaccompanied Children (UC) / Single Minors,Guatemala,all
27,Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,JUN,JUN,16,Unaccompanied Children (UC) / Single Minors,Guatemala,all
28,Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,MAY,MAY,19,Unaccompanied Children (UC) / Single Minors,Guatemala,all
29,Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,APR,APR,25,Unaccompanied Children (UC) / Single Minors,Guatemala,all
30,Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,MAR,MAR,31,Unaccompanied Children (UC) / Single Minors,Guatemala,all
31,Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,FEB,FEB,29,Unaccompanied Children (UC) / Single Minors,Guatemala,all
32,Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,JAN,JAN,8,Unaccompanied Children (UC) / Single Minors,Guatemala,all
33,Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,DEC,DEC,11,Unaccompanied Children (UC) / Single Minors,Guatemala,all
34,Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,NOV,NOV,8,Unaccompanied Children (UC) / Single Minors,Guatemala,all
35,Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,OCT,OCT,7,Unaccompanied Children (UC) / Single Minors,Guatemala,all
36,Office of Field Operations,Office of Field Operations,FMUA,FMUA,%all%,%all%,2678,Individuals in a Family Unit (FMUA),Guatemala,all
37,Office of Field Operations,Office of Field Operations,FMUA,FMUA,AUG,AUG,697,Individuals in a Family Unit (FMUA),Guatemala,all
38,Office of Field Operations,Office of Field Operations,FMUA,FMUA,JUL,JUL,606,Individuals in a Family Unit (FMUA),Guatemala,all
39,Office of Field Operations,Office of Field Operations,FMUA,FMUA,JUN,JUN,654,Individuals in a Family Unit (FMUA),Guatemala,all
40,Office of Field Operations,Office of Field Operations,FMUA,FMUA,MAY,MAY,485,Individuals in a Family Unit (FMUA),Guatemala,all
41,Office of Field Operations,Office of Field Operations,FMUA,FMUA,APR,APR,159,Individuals in a Family Unit (FMUA),Guatemala,all
42,Office of Field Operations,Office of Field Operations,FMUA,FMUA,MAR,MAR,38,Individuals in a Family Unit (FMUA),Guatemala,all
43,Office of Field Operations,Office of Field Operations,FMUA,FMUA,FEB,FEB,18,Individuals in a Family Unit (FMUA),Guatemala,all
44,Office of Field Operations,Office of Field Operations,FMUA,FMUA,JAN,JAN,6,Individuals in a Family Unit (FMUA),Guatemala,all
45,Office of Field Operations,Office of Field Operations,FMUA,FMUA,DEC,DEC,2,Individuals in a Family Unit (FMUA),Guatemala,all
46,Office of Field Operations,Office of Field Operations,FMUA,FMUA,NOV,NOV,7,Individuals in a Family Unit (FMUA),Guatemala,all
47,Office of Field Operations,Office of Field Operations,FMUA,FMUA,OCT,OCT,6,Individuals in a Family Unit (FMUA),Guatemala,all
48,Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,%all%,%all%,960,Single Adults,Guatemala,all
49,Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,AUG,AUG,174,Single Adults,Guatemala,all
50,Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,JUL,JUL,174,Single Adults,Guatemala,all
51,Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,JUN,JUN,150,Single Adults,Guatemala,all
52,Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,MAY,MAY,100,Single Adults,Guatemala,all
53,Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,APR,APR,80,Single Adults,Guatemala,all
54,Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,MAR,MAR,63,Single Adults,Guatemala,all
55,Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,FEB,FEB,67,Single Adults,Guatemala,all
