,Fiscal Year-value,Fiscal Year-alias,Month (abbv)-value,Month (abbv)-alias,SUM(Encounter Count)-alias,Citizenship Grouping,Component,Demographic,Title of Authority
33,2020,2020,JAN,JAN,1217,El Salvador,U.S. Border Patrol,all,Title 8
34,2021 (FYTD),2021 (FYTD),JAN,JAN,618,El Salvador,U.S. Border Patrol,all,Title 8
35,2018,2018,DEC,DEC,2400,El Salvador,U.S. Border Patrol,all,Title 8
36,2019,2019,DEC,DEC,3667,El Salvador,U.S. Border Patrol,all,Title 8
37,2020,2020,DEC,DEC,1839,El Salvador,U.S. Border Patrol,all,Title 8
38,2021 (FYTD),2021 (FYTD),DEC,DEC,482,El Salvador,U.S. Border Patrol,all,Title 8
39,2018,2018,NOV,NOV,2706,El Salvador,U.S. Border Patrol,all,Title 8
40,2019,2019,NOV,NOV,4895,El Salvador,U.S. Border Patrol,all,Title 8
41,2020,2020,NOV,NOV,2069,El Salvador,U.S. Border Patrol,all,Title 8
42,2021 (FYTD),2021 (FYTD),NOV,NOV,394,El Salvador,U.S. Border Patrol,all,Title 8
43,2018,2018,OCT,OCT,2182,El Salvador,U.S. Border Patrol,all,Title 8
44,2019,2019,OCT,OCT,4607,El Salvador,U.S. Border Patrol,all,Title 8
45,2020,2020,OCT,OCT,2480,El Salvador,U.S. Border Patrol,all,Title 8
46,2021 (FYTD),2021 (FYTD),OCT,OCT,343,El Salvador,U.S. Border Patrol,all,Title 8
0,2020,2020,SEP,SEP,1928,El Salvador,U.S. Border Patrol,all,Title 42
1,2020,2020,AUG,AUG,1307,El Salvador,U.S. Border Patrol,all,Title 42
2,2021 (FYTD),2021 (FYTD),AUG,AUG,4957,El Salvador,U.S. Border Patrol,all,Title 42
3,2020,2020,JUL,JUL,867,El Salvador,U.S. Border Patrol,all,Title 42
4,2021 (FYTD),2021 (FYTD),JUL,JUL,5577,El Salvador,U.S. Border Patrol,all,Title 42
5,2020,2020,JUN,JUN,488,El Salvador,U.S. Border Patrol,all,Title 42
6,2021 (FYTD),2021 (FYTD),JUN,JUN,6169,El Salvador,U.S. Border Patrol,all,Title 42
7,2020,2020,MAY,MAY,425,El Salvador,U.S. Border Patrol,all,Title 42
8,2021 (FYTD),2021 (FYTD),MAY,MAY,5932,El Salvador,U.S. Border Patrol,all,Title 42
9,2020,2020,APR,APR,513,El Salvador,U.S. Border Patrol,all,Title 42
10,2021 (FYTD),2021 (FYTD),APR,APR,6251,El Salvador,U.S. Border Patrol,all,Title 42
11,2020,2020,MAR,MAR,347,El Salvador,U.S. Border Patrol,all,Title 42
12,2021 (FYTD),2021 (FYTD),MAR,MAR,5724,El Salvador,U.S. Border Patrol,all,Title 42
13,2021 (FYTD),2021 (FYTD),FEB,FEB,3863,El Salvador,U.S. Border Patrol,all,Title 42
14,2021 (FYTD),2021 (FYTD),JAN,JAN,2915,El Salvador,U.S. Border Patrol,all,Title 42
15,2021 (FYTD),2021 (FYTD),DEC,DEC,3400,El Salvador,U.S. Border Patrol,all,Title 42
16,2021 (FYTD),2021 (FYTD),NOV,NOV,3213,El Salvador,U.S. Border Patrol,all,Title 42
17,2021 (FYTD),2021 (FYTD),OCT,OCT,2642,El Salvador,U.S. Border Patrol,all,Title 42
0,2018,2018,SEP,SEP,2147,El Salvador,U.S. Border Patrol,FMUA,all
1,2019,2019,SEP,SEP,1984,El Salvador,U.S. Border Patrol,FMUA,all
2,2020,2020,SEP,SEP,296,El Salvador,U.S. Border Patrol,FMUA,all
3,2018,2018,AUG,AUG,1686,El Salvador,U.S. Border Patrol,FMUA,all
4,2019,2019,AUG,AUG,3821,El Salvador,U.S. Border Patrol,FMUA,all
5,2020,2020,AUG,AUG,173,El Salvador,U.S. Border Patrol,FMUA,all
6,2021 (FYTD),2021 (FYTD),AUG,AUG,6037,El Salvador,U.S. Border Patrol,FMUA,all
7,2018,2018,JUL,JUL,1377,El Salvador,U.S. Border Patrol,FMUA,all
8,2019,2019,JUL,JUL,6899,El Salvador,U.S. Border Patrol,FMUA,all
9,2020,2020,JUL,JUL,130,El Salvador,U.S. Border Patrol,FMUA,all
10,2021 (FYTD),2021 (FYTD),JUL,JUL,5579,El Salvador,U.S. Border Patrol,FMUA,all
11,2018,2018,JUN,JUN,1292,El Salvador,U.S. Border Patrol,FMUA,all
12,2019,2019,JUN,JUN,8785,El Salvador,U.S. Border Patrol,FMUA,all
13,2020,2020,JUN,JUN,59,El Salvador,U.S. Border Patrol,FMUA,all
14,2021 (FYTD),2021 (FYTD),JUN,JUN,4004,El Salvador,U.S. Border Patrol,FMUA,all
15,2018,2018,MAY,MAY,1194,El Salvador,U.S. Border Patrol,FMUA,all
16,2019,2019,MAY,MAY,10912,El Salvador,U.S. Border Patrol,FMUA,all
17,2020,2020,MAY,MAY,71,El Salvador,U.S. Border Patrol,FMUA,all
18,2021 (FYTD),2021 (FYTD),MAY,MAY,3195,El Salvador,U.S. Border Patrol,FMUA,all
19,2018,2018,APR,APR,981,El Salvador,U.S. Border Patrol,FMUA,all
20,2019,2019,APR,APR,7118,El Salvador,U.S. Border Patrol,FMUA,all
21,2020,2020,APR,APR,52,El Salvador,U.S. Border Patrol,FMUA,all
22,2021 (FYTD),2021 (FYTD),APR,APR,4303,El Salvador,U.S. Border Patrol,FMUA,all
23,2018,2018,MAR,MAR,799,El Salvador,U.S. Border Patrol,FMUA,all
24,2019,2019,MAR,MAR,5399,El Salvador,U.S. Border Patrol,FMUA,all
25,2020,2020,MAR,MAR,300,El Salvador,U.S. Border Patrol,FMUA,all
26,2021 (FYTD),2021 (FYTD),MAR,MAR,4120,El Salvador,U.S. Border Patrol,FMUA,all
27,2018,2018,FEB,FEB,512,El Salvador,U.S. Border Patrol,FMUA,all
28,2019,2019,FEB,FEB,2832,El Salvador,U.S. Border Patrol,FMUA,all
29,2020,2020,FEB,FEB,270,El Salvador,U.S. Border Patrol,FMUA,all
30,2021 (FYTD),2021 (FYTD),FEB,FEB,1838,El Salvador,U.S. Border Patrol,FMUA,all
31,2018,2018,JAN,JAN,545,El Salvador,U.S. Border Patrol,FMUA,all
32,2019,2019,JAN,JAN,1865,El Salvador,U.S. Border Patrol,FMUA,all
33,2020,2020,JAN,JAN,336,El Salvador,U.S. Border Patrol,FMUA,all
34,2021 (FYTD),2021 (FYTD),JAN,JAN,504,El Salvador,U.S. Border Patrol,FMUA,all
35,2018,2018,DEC,DEC,1067,El Salvador,U.S. Border Patrol,FMUA,all
36,2019,2019,DEC,DEC,1921,El Salvador,U.S. Border Patrol,FMUA,all
37,2020,2020,DEC,DEC,644,El Salvador,U.S. Border Patrol,FMUA,all
38,2021 (FYTD),2021 (FYTD),DEC,DEC,445,El Salvador,U.S. Border Patrol,FMUA,all
39,2018,2018,NOV,NOV,1206,El Salvador,U.S. Border Patrol,FMUA,all
40,2019,2019,NOV,NOV,2730,El Salvador,U.S. Border Patrol,FMUA,all
41,2020,2020,NOV,NOV,851,El Salvador,U.S. Border Patrol,FMUA,all
42,2021 (FYTD),2021 (FYTD),NOV,NOV,413,El Salvador,U.S. Border Patrol,FMUA,all
43,2018,2018,OCT,OCT,863,El Salvador,U.S. Border Patrol,FMUA,all
44,2019,2019,OCT,OCT,2631,El Salvador,U.S. Border Patrol,FMUA,all
45,2020,2020,OCT,OCT,1153,El Salvador,U.S. Border Patrol,FMUA,all
46,2021 (FYTD),2021 (FYTD),OCT,OCT,528,El Salvador,U.S. Border Patrol,FMUA,all
0,2018,2018,SEP,SEP,2147,El Salvador,U.S. Border Patrol,FMUA,Title 8
1,2019,2019,SEP,SEP,1984,El Salvador,U.S. Border Patrol,FMUA,Title 8
2,2020,2020,SEP,SEP,15,El Salvador,U.S. Border Patrol,FMUA,Title 8
3,2018,2018,AUG,AUG,1686,El Salvador,U.S. Border Patrol,FMUA,Title 8
4,2019,2019,AUG,AUG,3821,El Salvador,U.S. Border Patrol,FMUA,Title 8
5,2020,2020,AUG,AUG,16,El Salvador,U.S. Border Patrol,FMUA,Title 8
6,2021 (FYTD),2021 (FYTD),AUG,AUG,4655,El Salvador,U.S. Border Patrol,FMUA,Title 8
7,2018,2018,JUL,JUL,1377,El Salvador,U.S. Border Patrol,FMUA,Title 8
8,2019,2019,JUL,JUL,6899,El Salvador,U.S. Border Patrol,FMUA,Title 8
9,2021 (FYTD),2021 (FYTD),JUL,JUL,4256,El Salvador,U.S. Border Patrol,FMUA,Title 8
10,2018,2018,JUN,JUN,1292,El Salvador,U.S. Border Patrol,FMUA,Title 8
11,2019,2019,JUN,JUN,8785,El Salvador,U.S. Border Patrol,FMUA,Title 8
12,2020,2020,JUN,JUN,2,El Salvador,U.S. Border Patrol,FMUA,Title 8
13,2021 (FYTD),2021 (FYTD),JUN,JUN,2853,El Salvador,U.S. Border Patrol,FMUA,Title 8
14,2018,2018,MAY,MAY,1194,El Salvador,U.S. Border Patrol,FMUA,Title 8
15,2019,2019,MAY,MAY,10912,El Salvador,U.S. Border Patrol,FMUA,Title 8
16,2020,2020,MAY,MAY,2,El Salvador,U.S. Border Patrol,FMUA,Title 8
17,2021 (FYTD),2021 (FYTD),MAY,MAY,2245,El Salvador,U.S. Border Patrol,FMUA,Title 8
18,2018,2018,APR,APR,981,El Salvador,U.S. Border Patrol,FMUA,Title 8
19,2019,2019,APR,APR,7118,El Salvador,U.S. Border Patrol,FMUA,Title 8
20,2021 (FYTD),2021 (FYTD),APR,APR,2324,El Salvador,U.S. Border Patrol,FMUA,Title 8
21,2018,2018,MAR,MAR,799,El Salvador,U.S. Border Patrol,FMUA,Title 8
22,2019,2019,MAR,MAR,5399,El Salvador,U.S. Border Patrol,FMUA,Title 8
23,2020,2020,MAR,MAR,216,El Salvador,U.S. Border Patrol,FMUA,Title 8
24,2021 (FYTD),2021 (FYTD),MAR,MAR,1968,El Salvador,U.S. Border Patrol,FMUA,Title 8
25,2018,2018,FEB,FEB,512,El Salvador,U.S. Border Patrol,FMUA,Title 8
26,2019,2019,FEB,FEB,2832,El Salvador,U.S. Border Patrol,FMUA,Title 8
27,2020,2020,FEB,FEB,270,El Salvador,U.S. Border Patrol,FMUA,Title 8
28,2021 (FYTD),2021 (FYTD),FEB,FEB,815,El Salvador,U.S. Border Patrol,FMUA,Title 8
29,2018,2018,JAN,JAN,545,El Salvador,U.S. Border Patrol,FMUA,Title 8
30,2019,2019,JAN,JAN,1865,El Salvador,U.S. Border Patrol,FMUA,Title 8
31,2020,2020,JAN,JAN,336,El Salvador,U.S. Border Patrol,FMUA,Title 8
32,2021 (FYTD),2021 (FYTD),JAN,JAN,124,El Salvador,U.S. Border Patrol,FMUA,Title 8
33,2018,2018,DEC,DEC,1067,El Salvador,U.S. Border Patrol,FMUA,Title 8
34,2019,2019,DEC,DEC,1921,El Salvador,U.S. Border Patrol,FMUA,Title 8
35,2020,2020,DEC,DEC,644,El Salvador,U.S. Border Patrol,FMUA,Title 8
36,2021 (FYTD),2021 (FYTD),DEC,DEC,19,El Salvador,U.S. Border Patrol,FMUA,Title 8
37,2018,2018,NOV,NOV,1206,El Salvador,U.S. Border Patrol,FMUA,Title 8
38,2019,2019,NOV,NOV,2730,El Salvador,U.S. Border Patrol,FMUA,Title 8
39,2020,2020,NOV,NOV,851,El Salvador,U.S. Border Patrol,FMUA,Title 8
40,2021 (FYTD),2021 (FYTD),NOV,NOV,1,El Salvador,U.S. Border Patrol,FMUA,Title 8
41,2018,2018,OCT,OCT,863,El Salvador,U.S. Border Patrol,FMUA,Title 8
42,2019,2019,OCT,OCT,2631,El Salvador,U.S. Border Patrol,FMUA,Title 8
43,2020,2020,OCT,OCT,1153,El Salvador,U.S. Border Patrol,FMUA,Title 8
44,2021 (FYTD),2021 (FYTD),OCT,OCT,14,El Salvador,U.S. Border Patrol,FMUA,Title 8
0,2020,2020,SEP,SEP,281,El Salvador,U.S. Border Patrol,FMUA,Title 42
1,2020,2020,AUG,AUG,157,El Salvador,U.S. Border Patrol,FMUA,Title 42
2,2021 (FYTD),2021 (FYTD),AUG,AUG,1382,El Salvador,U.S. Border Patrol,FMUA,Title 42
3,2020,2020,JUL,JUL,130,El Salvador,U.S. Border Patrol,FMUA,Title 42
4,2021 (FYTD),2021 (FYTD),JUL,JUL,1323,El Salvador,U.S. Border Patrol,FMUA,Title 42
5,2020,2020,JUN,JUN,57,El Salvador,U.S. Border Patrol,FMUA,Title 42
6,2021 (FYTD),2021 (FYTD),JUN,JUN,1151,El Salvador,U.S. Border Patrol,FMUA,Title 42
7,2020,2020,MAY,MAY,69,El Salvador,U.S. Border Patrol,FMUA,Title 42
8,2021 (FYTD),2021 (FYTD),MAY,MAY,950,El Salvador,U.S. Border Patrol,FMUA,Title 42
9,2020,2020,APR,APR,52,El Salvador,U.S. Border Patrol,FMUA,Title 42
10,2021 (FYTD),2021 (FYTD),APR,APR,1979,El Salvador,U.S. Border Patrol,FMUA,Title 42
11,2020,2020,MAR,MAR,84,El Salvador,U.S. Border Patrol,FMUA,Title 42
12,2021 (FYTD),2021 (FYTD),MAR,MAR,2152,El Salvador,U.S. Border Patrol,FMUA,Title 42
13,2021 (FYTD),2021 (FYTD),FEB,FEB,1023,El Salvador,U.S. Border Patrol,FMUA,Title 42
14,2021 (FYTD),2021 (FYTD),JAN,JAN,380,El Salvador,U.S. Border Patrol,FMUA,Title 42
15,2021 (FYTD),2021 (FYTD),DEC,DEC,426,El Salvador,U.S. Border Patrol,FMUA,Title 42
16,2021 (FYTD),2021 (FYTD),NOV,NOV,412,El Salvador,U.S. Border Patrol,FMUA,Title 42
17,2021 (FYTD),2021 (FYTD),OCT,OCT,514,El Salvador,U.S. Border Patrol,FMUA,Title 42
0,2018,2018,SEP,SEP,1217,El Salvador,U.S. Border Patrol,Single Adults,all
1,2019,2019,SEP,SEP,1089,El Salvador,U.S. Border Patrol,Single Adults,all
2,2020,2020,SEP,SEP,1665,El Salvador,U.S. Border Patrol,Single Adults,all
3,2018,2018,AUG,AUG,1202,El Salvador,U.S. Border Patrol,Single Adults,all
4,2019,2019,AUG,AUG,1516,El Salvador,U.S. Border Patrol,Single Adults,all
5,2020,2020,AUG,AUG,1146,El Salvador,U.S. Border Patrol,Single Adults,all
6,2021 (FYTD),2021 (FYTD),AUG,AUG,3795,El Salvador,U.S. Border Patrol,Single Adults,all
7,2018,2018,JUL,JUL,1117,El Salvador,U.S. Border Patrol,Single Adults,all
8,2019,2019,JUL,JUL,1791,El Salvador,U.S. Border Patrol,Single Adults,all
9,2020,2020,JUL,JUL,708,El Salvador,U.S. Border Patrol,Single Adults,all
10,2021 (FYTD),2021 (FYTD),JUL,JUL,4468,El Salvador,U.S. Border Patrol,Single Adults,all
11,2018,2018,JUN,JUN,1298,El Salvador,U.S. Border Patrol,Single Adults,all
12,2019,2019,JUN,JUN,2312,El Salvador,U.S. Border Patrol,Single Adults,all
13,2020,2020,JUN,JUN,432,El Salvador,U.S. Border Patrol,Single Adults,all
14,2021 (FYTD),2021 (FYTD),JUN,JUN,5210,El Salvador,U.S. Border Patrol,Single Adults,all
15,2018,2018,MAY,MAY,1369,El Salvador,U.S. Border Patrol,Single Adults,all
16,2019,2019,MAY,MAY,2893,El Salvador,U.S. Border Patrol,Single Adults,all
17,2020,2020,MAY,MAY,375,El Salvador,U.S. Border Patrol,Single Adults,all
18,2021 (FYTD),2021 (FYTD),MAY,MAY,5198,El Salvador,U.S. Border Patrol,Single Adults,all
19,2018,2018,APR,APR,1046,El Salvador,U.S. Border Patrol,Single Adults,all
20,2019,2019,APR,APR,2289,El Salvador,U.S. Border Patrol,Single Adults,all
21,2020,2020,APR,APR,471,El Salvador,U.S. Border Patrol,Single Adults,all
22,2021 (FYTD),2021 (FYTD),APR,APR,4450,El Salvador,U.S. Border Patrol,Single Adults,all
23,2018,2018,MAR,MAR,931,El Salvador,U.S. Border Patrol,Single Adults,all
24,2019,2019,MAR,MAR,2219,El Salvador,U.S. Border Patrol,Single Adults,all
25,2020,2020,MAR,MAR,828,El Salvador,U.S. Border Patrol,Single Adults,all
26,2021 (FYTD),2021 (FYTD),MAR,MAR,3723,El Salvador,U.S. Border Patrol,Single Adults,all
27,2018,2018,FEB,FEB,694,El Salvador,U.S. Border Patrol,Single Adults,all
28,2019,2019,FEB,FEB,1602,El Salvador,U.S. Border Patrol,Single Adults,all
29,2020,2020,FEB,FEB,849,El Salvador,U.S. Border Patrol,Single Adults,all
30,2021 (FYTD),2021 (FYTD),FEB,FEB,2958,El Salvador,U.S. Border Patrol,Single Adults,all
31,2018,2018,JAN,JAN,717,El Salvador,U.S. Border Patrol,Single Adults,all
32,2019,2019,JAN,JAN,1023,El Salvador,U.S. Border Patrol,Single Adults,all
33,2020,2020,JAN,JAN,666,El Salvador,U.S. Border Patrol,Single Adults,all
34,2021 (FYTD),2021 (FYTD),JAN,JAN,2643,El Salvador,U.S. Border Patrol,Single Adults,all
35,2018,2018,DEC,DEC,1001,El Salvador,U.S. Border Patrol,Single Adults,all
36,2019,2019,DEC,DEC,1311,El Salvador,U.S. Border Patrol,Single Adults,all
37,2020,2020,DEC,DEC,916,El Salvador,U.S. Border Patrol,Single Adults,all
38,2021 (FYTD),2021 (FYTD),DEC,DEC,3082,El Salvador,U.S. Border Patrol,Single Adults,all
39,2018,2018,NOV,NOV,1129,El Salvador,U.S. Border Patrol,Single Adults,all
40,2019,2019,NOV,NOV,1508,El Salvador,U.S. Border Patrol,Single Adults,all
41,2020,2020,NOV,NOV,923,El Salvador,U.S. Border Patrol,Single Adults,all
42,2021 (FYTD),2021 (FYTD),NOV,NOV,2850,El Salvador,U.S. Border Patrol,Single Adults,all
43,2018,2018,OCT,OCT,1030,El Salvador,U.S. Border Patrol,Single Adults,all
44,2019,2019,OCT,OCT,1340,El Salvador,U.S. Border Patrol,Single Adults,all
45,2020,2020,OCT,OCT,981,El Salvador,U.S. Border Patrol,Single Adults,all
46,2021 (FYTD),2021 (FYTD),OCT,OCT,2124,El Salvador,U.S. Border Patrol,Single Adults,all
0,2018,2018,SEP,SEP,1217,El Salvador,U.S. Border Patrol,Single Adults,Title 8
1,2019,2019,SEP,SEP,1089,El Salvador,U.S. Border Patrol,Single Adults,Title 8
2,2020,2020,SEP,SEP,93,El Salvador,U.S. Border Patrol,Single Adults,Title 8
3,2018,2018,AUG,AUG,1202,El Salvador,U.S. Border Patrol,Single Adults,Title 8
4,2019,2019,AUG,AUG,1516,El Salvador,U.S. Border Patrol,Single Adults,Title 8
5,2020,2020,AUG,AUG,74,El Salvador,U.S. Border Patrol,Single Adults,Title 8
6,2021 (FYTD),2021 (FYTD),AUG,AUG,221,El Salvador,U.S. Border Patrol,Single Adults,Title 8
7,2018,2018,JUL,JUL,1117,El Salvador,U.S. Border Patrol,Single Adults,Title 8
8,2019,2019,JUL,JUL,1791,El Salvador,U.S. Border Patrol,Single Adults,Title 8
9,2020,2020,JUL,JUL,51,El Salvador,U.S. Border Patrol,Single Adults,Title 8
10,2021 (FYTD),2021 (FYTD),JUL,JUL,214,El Salvador,U.S. Border Patrol,Single Adults,Title 8
11,2018,2018,JUN,JUN,1298,El Salvador,U.S. Border Patrol,Single Adults,Title 8
12,2019,2019,JUN,JUN,2312,El Salvador,U.S. Border Patrol,Single Adults,Title 8
13,2020,2020,JUN,JUN,29,El Salvador,U.S. Border Patrol,Single Adults,Title 8
14,2021 (FYTD),2021 (FYTD),JUN,JUN,192,El Salvador,U.S. Border Patrol,Single Adults,Title 8
15,2018,2018,MAY,MAY,1369,El Salvador,U.S. Border Patrol,Single Adults,Title 8
16,2019,2019,MAY,MAY,2893,El Salvador,U.S. Border Patrol,Single Adults,Title 8
17,2020,2020,MAY,MAY,28,El Salvador,U.S. Border Patrol,Single Adults,Title 8
18,2021 (FYTD),2021 (FYTD),MAY,MAY,216,El Salvador,U.S. Border Patrol,Single Adults,Title 8
19,2018,2018,APR,APR,1046,El Salvador,U.S. Border Patrol,Single Adults,Title 8
20,2019,2019,APR,APR,2289,El Salvador,U.S. Border Patrol,Single Adults,Title 8
21,2020,2020,APR,APR,26,El Salvador,U.S. Border Patrol,Single Adults,Title 8
22,2021 (FYTD),2021 (FYTD),APR,APR,179,El Salvador,U.S. Border Patrol,Single Adults,Title 8
23,2018,2018,MAR,MAR,931,El Salvador,U.S. Border Patrol,Single Adults,Title 8
24,2019,2019,MAR,MAR,2219,El Salvador,U.S. Border Patrol,Single Adults,Title 8
25,2020,2020,MAR,MAR,585,El Salvador,U.S. Border Patrol,Single Adults,Title 8
26,2021 (FYTD),2021 (FYTD),MAR,MAR,151,El Salvador,U.S. Border Patrol,Single Adults,Title 8
27,2018,2018,FEB,FEB,694,El Salvador,U.S. Border Patrol,Single Adults,Title 8
28,2019,2019,FEB,FEB,1602,El Salvador,U.S. Border Patrol,Single Adults,Title 8
29,2020,2020,FEB,FEB,849,El Salvador,U.S. Border Patrol,Single Adults,Title 8
30,2021 (FYTD),2021 (FYTD),FEB,FEB,118,El Salvador,U.S. Border Patrol,Single Adults,Title 8
31,2018,2018,JAN,JAN,717,El Salvador,U.S. Border Patrol,Single Adults,Title 8
32,2019,2019,JAN,JAN,1023,El Salvador,U.S. Border Patrol,Single Adults,Title 8
33,2020,2020,JAN,JAN,666,El Salvador,U.S. Border Patrol,Single Adults,Title 8
34,2021 (FYTD),2021 (FYTD),JAN,JAN,108,El Salvador,U.S. Border Patrol,Single Adults,Title 8
35,2018,2018,DEC,DEC,1001,El Salvador,U.S. Border Patrol,Single Adults,Title 8
36,2019,2019,DEC,DEC,1311,El Salvador,U.S. Border Patrol,Single Adults,Title 8
37,2020,2020,DEC,DEC,916,El Salvador,U.S. Border Patrol,Single Adults,Title 8
38,2021 (FYTD),2021 (FYTD),DEC,DEC,108,El Salvador,U.S. Border Patrol,Single Adults,Title 8
39,2018,2018,NOV,NOV,1129,El Salvador,U.S. Border Patrol,Single Adults,Title 8
40,2019,2019,NOV,NOV,1508,El Salvador,U.S. Border Patrol,Single Adults,Title 8
41,2020,2020,NOV,NOV,923,El Salvador,U.S. Border Patrol,Single Adults,Title 8
42,2021 (FYTD),2021 (FYTD),NOV,NOV,113,El Salvador,U.S. Border Patrol,Single Adults,Title 8
43,2018,2018,OCT,OCT,1030,El Salvador,U.S. Border Patrol,Single Adults,Title 8
44,2019,2019,OCT,OCT,1340,El Salvador,U.S. Border Patrol,Single Adults,Title 8
45,2020,2020,OCT,OCT,981,El Salvador,U.S. Border Patrol,Single Adults,Title 8
46,2021 (FYTD),2021 (FYTD),OCT,OCT,112,El Salvador,U.S. Border Patrol,Single Adults,Title 8
0,2020,2020,SEP,SEP,1572,El Salvador,U.S. Border Patrol,Single Adults,Title 42
1,2020,2020,AUG,AUG,1072,El Salvador,U.S. Border Patrol,Single Adults,Title 42
2,2021 (FYTD),2021 (FYTD),AUG,AUG,3574,El Salvador,U.S. Border Patrol,Single Adults,Title 42
3,2020,2020,JUL,JUL,657,El Salvador,U.S. Border Patrol,Single Adults,Title 42
4,2021 (FYTD),2021 (FYTD),JUL,JUL,4254,El Salvador,U.S. Border Patrol,Single Adults,Title 42
5,2020,2020,JUN,JUN,403,El Salvador,U.S. Border Patrol,Single Adults,Title 42
6,2021 (FYTD),2021 (FYTD),JUN,JUN,5018,El Salvador,U.S. Border Patrol,Single Adults,Title 42
7,2020,2020,MAY,MAY,347,El Salvador,U.S. Border Patrol,Single Adults,Title 42
8,2021 (FYTD),2021 (FYTD),MAY,MAY,4982,El Salvador,U.S. Border Patrol,Single Adults,Title 42
9,2020,2020,APR,APR,445,El Salvador,U.S. Border Patrol,Single Adults,Title 42
10,2021 (FYTD),2021 (FYTD),APR,APR,4271,El Salvador,U.S. Border Patrol,Single Adults,Title 42
11,2020,2020,MAR,MAR,243,El Salvador,U.S. Border Patrol,Single Adults,Title 42
12,2021 (FYTD),2021 (FYTD),MAR,MAR,3572,El Salvador,U.S. Border Patrol,Single Adults,Title 42
13,2021 (FYTD),2021 (FYTD),FEB,FEB,2840,El Salvador,U.S. Border Patrol,Single Adults,Title 42
14,2021 (FYTD),2021 (FYTD),JAN,JAN,2535,El Salvador,U.S. Border Patrol,Single Adults,Title 42
15,2021 (FYTD),2021 (FYTD),DEC,DEC,2974,El Salvador,U.S. Border Patrol,Single Adults,Title 42
16,2021 (FYTD),2021 (FYTD),NOV,NOV,2737,El Salvador,U.S. Border Patrol,Single Adults,Title 42
17,2021 (FYTD),2021 (FYTD),OCT,OCT,2012,El Salvador,U.S. Border Patrol,Single Adults,Title 42
0,2018,2018,SEP,SEP,577,El Salvador,U.S. Border Patrol,UC / Single Minors,all
1,2019,2019,SEP,SEP,427,El Salvador,U.S. Border Patrol,UC / Single Minors,all
2,2020,2020,SEP,SEP,225,El Salvador,U.S. Border Patrol,UC / Single Minors,all
3,2018,2018,AUG,AUG,611,El Salvador,U.S. Border Patrol,UC / Single Minors,all
4,2019,2019,AUG,AUG,632,El Salvador,U.S. Border Patrol,UC / Single Minors,all
5,2020,2020,AUG,AUG,143,El Salvador,U.S. Border Patrol,UC / Single Minors,all
6,2021 (FYTD),2021 (FYTD),AUG,AUG,2106,El Salvador,U.S. Border Patrol,UC / Single Minors,all
7,2018,2018,JUL,JUL,483,El Salvador,U.S. Border Patrol,UC / Single Minors,all
8,2019,2019,JUL,JUL,1148,El Salvador,U.S. Border Patrol,UC / Single Minors,all
9,2020,2020,JUL,JUL,93,El Salvador,U.S. Border Patrol,UC / Single Minors,all
10,2021 (FYTD),2021 (FYTD),JUL,JUL,2111,El Salvador,U.S. Border Patrol,UC / Single Minors,all
11,2018,2018,JUN,JUN,588,El Salvador,U.S. Border Patrol,UC / Single Minors,all
12,2019,2019,JUN,JUN,1545,El Salvador,U.S. Border Patrol,UC / Single Minors,all
13,2020,2020,JUN,JUN,38,El Salvador,U.S. Border Patrol,UC / Single Minors,all
14,2021 (FYTD),2021 (FYTD),JUN,JUN,1840,El Salvador,U.S. Border Patrol,UC / Single Minors,all
15,2018,2018,MAY,MAY,601,El Salvador,U.S. Border Patrol,UC / Single Minors,all
16,2019,2019,MAY,MAY,2156,El Salvador,U.S. Border Patrol,UC / Single Minors,all
17,2020,2020,MAY,MAY,10,El Salvador,U.S. Border Patrol,UC / Single Minors,all
18,2021 (FYTD),2021 (FYTD),MAY,MAY,1658,El Salvador,U.S. Border Patrol,UC / Single Minors,all
19,2018,2018,APR,APR,377,El Salvador,U.S. Border Patrol,UC / Single Minors,all
20,2019,2019,APR,APR,1632,El Salvador,U.S. Border Patrol,UC / Single Minors,all
21,2020,2020,APR,APR,22,El Salvador,U.S. Border Patrol,UC / Single Minors,all
22,2021 (FYTD),2021 (FYTD),APR,APR,2090,El Salvador,U.S. Border Patrol,UC / Single Minors,all
23,2018,2018,MAR,MAR,326,El Salvador,U.S. Border Patrol,UC / Single Minors,all
24,2019,2019,MAR,MAR,1364,El Salvador,U.S. Border Patrol,UC / Single Minors,all
25,2020,2020,MAR,MAR,254,El Salvador,U.S. Border Patrol,UC / Single Minors,all
26,2021 (FYTD),2021 (FYTD),MAR,MAR,1580,El Salvador,U.S. Border Patrol,UC / Single Minors,all
27,2018,2018,FEB,FEB,202,El Salvador,U.S. Border Patrol,UC / Single Minors,all
28,2019,2019,FEB,FEB,824,El Salvador,U.S. Border Patrol,UC / Single Minors,all
29,2020,2020,FEB,FEB,269,El Salvador,U.S. Border Patrol,UC / Single Minors,all
30,2021 (FYTD),2021 (FYTD),FEB,FEB,767,El Salvador,U.S. Border Patrol,UC / Single Minors,all
31,2018,2018,JAN,JAN,192,El Salvador,U.S. Border Patrol,UC / Single Minors,all
32,2019,2019,JAN,JAN,565,El Salvador,U.S. Border Patrol,UC / Single Minors,all
33,2020,2020,JAN,JAN,215,El Salvador,U.S. Border Patrol,UC / Single Minors,all
