Fiscal Year-value,Fiscal Year-alias,Month (abbv)-value,Month (abbv)-alias,SUM(Encounter Count)-alias,Citizenship Grouping,Component,Demographic,Title of Authority
2019,2019,SEP,SEP,"1,984",El Salvador,U.S. Border Patrol,FMUA,Title 8
2020,2020,SEP,SEP,15,El Salvador,U.S. Border Patrol,FMUA,Title 8
2021,2021,SEP,SEP,"3,071",El Salvador,U.S. Border Patrol,FMUA,Title 8
2019,2019,AUG,AUG,"3,821",El Salvador,U.S. Border Patrol,FMUA,Title 8
2020,2020,AUG,AUG,16,El Salvador,U.S. Border Patrol,FMUA,Title 8
2021,2021,AUG,AUG,"4,579",El Salvador,U.S. Border Patrol,FMUA,Title 8
2022 (FYTD),2022 (FYTD),AUG,AUG,773,El Salvador,U.S. Border Patrol,FMUA,Title 8
2019,2019,JUL,JUL,"6,899",El Salvador,U.S. Border Patrol,FMUA,Title 8
2021,2021,JUL,JUL,"4,254",El Salvador,U.S. Border Patrol,FMUA,Title 8
2022 (FYTD),2022 (FYTD),JUL,JUL,"1,204",El Salvador,U.S. Border Patrol,FMUA,Title 8
2019,2019,JUN,JUN,"8,785",El Salvador,U.S. Border Patrol,FMUA,Title 8
2020,2020,JUN,JUN,2,El Salvador,U.S. Border Patrol,FMUA,Title 8
2021,2021,JUN,JUN,"2,854",El Salvador,U.S. Border Patrol,FMUA,Title 8
2022 (FYTD),2022 (FYTD),JUN,JUN,"1,638",El Salvador,U.S. Border Patrol,FMUA,Title 8
2019,2019,MAY,MAY,"10,912",El Salvador,U.S. Border Patrol,FMUA,Title 8
2020,2020,MAY,MAY,2,El Salvador,U.S. Border Patrol,FMUA,Title 8
2021,2021,MAY,MAY,"2,245",El Salvador,U.S. Border Patrol,FMUA,Title 8
2022 (FYTD),2022 (FYTD),MAY,MAY,"1,405",El Salvador,U.S. Border Patrol,FMUA,Title 8
2019,2019,APR,APR,"7,118",El Salvador,U.S. Border Patrol,FMUA,Title 8
2021,2021,APR,APR,"2,324",El Salvador,U.S. Border Patrol,FMUA,Title 8
2022 (FYTD),2022 (FYTD),APR,APR,956,El Salvador,U.S. Border Patrol,FMUA,Title 8
2019,2019,MAR,MAR,"5,399",El Salvador,U.S. Border Patrol,FMUA,Title 8
2020,2020,MAR,MAR,216,El Salvador,U.S. Border Patrol,FMUA,Title 8
2021,2021,MAR,MAR,"1,968",El Salvador,U.S. Border Patrol,FMUA,Title 8
2022 (FYTD),2022 (FYTD),MAR,MAR,"1,254",El Salvador,U.S. Border Patrol,FMUA,Title 8
2019,2019,FEB,FEB,"2,832",El Salvador,U.S. Border Patrol,FMUA,Title 8
2020,2020,FEB,FEB,270,El Salvador,U.S. Border Patrol,FMUA,Title 8
2021,2021,FEB,FEB,815,El Salvador,U.S. Border Patrol,FMUA,Title 8
2022 (FYTD),2022 (FYTD),FEB,FEB,"1,051",El Salvador,U.S. Border Patrol,FMUA,Title 8
2019,2019,JAN,JAN,"1,865",El Salvador,U.S. Border Patrol,FMUA,Title 8
2020,2020,JAN,JAN,336,El Salvador,U.S. Border Patrol,FMUA,Title 8
2021,2021,JAN,JAN,124,El Salvador,U.S. Border Patrol,FMUA,Title 8
2022 (FYTD),2022 (FYTD),JAN,JAN,828,El Salvador,U.S. Border Patrol,FMUA,Title 8
2019,2019,DEC,DEC,"1,921",El Salvador,U.S. Border Patrol,FMUA,Title 8
2020,2020,DEC,DEC,644,El Salvador,U.S. Border Patrol,FMUA,Title 8
2021,2021,DEC,DEC,19,El Salvador,U.S. Border Patrol,FMUA,Title 8
2022 (FYTD),2022 (FYTD),DEC,DEC,"1,846",El Salvador,U.S. Border Patrol,FMUA,Title 8
2019,2019,NOV,NOV,"2,730",El Salvador,U.S. Border Patrol,FMUA,Title 8
2020,2020,NOV,NOV,851,El Salvador,U.S. Border Patrol,FMUA,Title 8
2021,2021,NOV,NOV,1,El Salvador,U.S. Border Patrol,FMUA,Title 8
2022 (FYTD),2022 (FYTD),NOV,NOV,"2,619",El Salvador,U.S. Border Patrol,FMUA,Title 8
2019,2019,OCT,OCT,"2,631",El Salvador,U.S. Border Patrol,FMUA,Title 8
2020,2020,OCT,OCT,"1,153",El Salvador,U.S. Border Patrol,FMUA,Title 8
2021,2021,OCT,OCT,14,El Salvador,U.S. Border Patrol,FMUA,Title 8
2022 (FYTD),2022 (FYTD),OCT,OCT,"2,654",El Salvador,U.S. Border Patrol,FMUA,Title 8
2020,2020,SEP,SEP,281,El Salvador,U.S. Border Patrol,FMUA,Title 42
2021,2021,SEP,SEP,"1,714",El Salvador,U.S. Border Patrol,FMUA,Title 42
2020,2020,AUG,AUG,157,El Salvador,U.S. Border Patrol,FMUA,Title 42
2021,2021,AUG,AUG,"1,463",El Salvador,U.S. Border Patrol,FMUA,Title 42
2022 (FYTD),2022 (FYTD),AUG,AUG,459,El Salvador,U.S. Border Patrol,FMUA,Title 42
2020,2020,JUL,JUL,130,El Salvador,U.S. Border Patrol,FMUA,Title 42
2021,2021,JUL,JUL,"1,323",El Salvador,U.S. Border Patrol,FMUA,Title 42
2022 (FYTD),2022 (FYTD),JUL,JUL,719,El Salvador,U.S. Border Patrol,FMUA,Title 42
2020,2020,JUN,JUN,57,El Salvador,U.S. Border Patrol,FMUA,Title 42
2021,2021,JUN,JUN,"1,151",El Salvador,U.S. Border Patrol,FMUA,Title 42
2022 (FYTD),2022 (FYTD),JUN,JUN,"1,002",El Salvador,U.S. Border Patrol,FMUA,Title 42
2020,2020,MAY,MAY,69,El Salvador,U.S. Border Patrol,FMUA,Title 42
2021,2021,MAY,MAY,950,El Salvador,U.S. Border Patrol,FMUA,Title 42
2022 (FYTD),2022 (FYTD),MAY,MAY,806,El Salvador,U.S. Border Patrol,FMUA,Title 42
2020,2020,APR,APR,52,El Salvador,U.S. Border Patrol,FMUA,Title 42
2021,2021,APR,APR,"1,979",El Salvador,U.S. Border Patrol,FMUA,Title 42
2022 (FYTD),2022 (FYTD),APR,APR,624,El Salvador,U.S. Border Patrol,FMUA,Title 42
2020,2020,MAR,MAR,84,El Salvador,U.S. Border Patrol,FMUA,Title 42
2021,2021,MAR,MAR,"2,152",El Salvador,U.S. Border Patrol,FMUA,Title 42
2022 (FYTD),2022 (FYTD),MAR,MAR,568,El Salvador,U.S. Border Patrol,FMUA,Title 42
2021,2021,FEB,FEB,"1,023",El Salvador,U.S. Border Patrol,FMUA,Title 42
2022 (FYTD),2022 (FYTD),FEB,FEB,457,El Salvador,U.S. Border Patrol,FMUA,Title 42
2021,2021,JAN,JAN,380,El Salvador,U.S. Border Patrol,FMUA,Title 42
2022 (FYTD),2022 (FYTD),JAN,JAN,469,El Salvador,U.S. Border Patrol,FMUA,Title 42
2021,2021,DEC,DEC,426,El Salvador,U.S. Border Patrol,FMUA,Title 42
2022 (FYTD),2022 (FYTD),DEC,DEC,"1,080",El Salvador,U.S. Border Patrol,FMUA,Title 42
2021,2021,NOV,NOV,412,El Salvador,U.S. Border Patrol,FMUA,Title 42
2022 (FYTD),2022 (FYTD),NOV,NOV,"1,216",El Salvador,U.S. Border Patrol,FMUA,Title 42
2021,2021,OCT,OCT,514,El Salvador,U.S. Border Patrol,FMUA,Title 42
2022 (FYTD),2022 (FYTD),OCT,OCT,"1,448",El Salvador,U.S. Border Patrol,FMUA,Title 42
2019,2019,SEP,SEP,"1,089",El Salvador,U.S. Border Patrol,Single Adults,all
2020,2020,SEP,SEP,"1,665",El Salvador,U.S. Border Patrol,Single Adults,all
2021,2021,SEP,SEP,"4,169",El Salvador,U.S. Border Patrol,Single Adults,all
2019,2019,AUG,AUG,"1,516",El Salvador,U.S. Border Patrol,Single Adults,all
2020,2020,AUG,AUG,"1,146",El Salvador,U.S. Border Patrol,Single Adults,all
2021,2021,AUG,AUG,"3,827",El Salvador,U.S. Border Patrol,Single Adults,all
2022 (FYTD),2022 (FYTD),AUG,AUG,"3,649",El Salvador,U.S. Border Patrol,Single Adults,all
2019,2019,JUL,JUL,"1,791",El Salvador,U.S. Border Patrol,Single Adults,all
2020,2020,JUL,JUL,708,El Salvador,U.S. Border Patrol,Single Adults,all
2021,2021,JUL,JUL,"4,469",El Salvador,U.S. Border Patrol,Single Adults,all
2022 (FYTD),2022 (FYTD),JUL,JUL,"4,304",El Salvador,U.S. Border Patrol,Single Adults,all
2019,2019,JUN,JUN,"2,312",El Salvador,U.S. Border Patrol,Single Adults,all
2020,2020,JUN,JUN,432,El Salvador,U.S. Border Patrol,Single Adults,all
2021,2021,JUN,JUN,"5,210",El Salvador,U.S. Border Patrol,Single Adults,all
2022 (FYTD),2022 (FYTD),JUN,JUN,"4,514",El Salvador,U.S. Border Patrol,Single Adults,all
2019,2019,MAY,MAY,"2,893",El Salvador,U.S. Border Patrol,Single Adults,all
2020,2020,MAY,MAY,375,El Salvador,U.S. Border Patrol,Single Adults,all
2021,2021,MAY,MAY,"5,198",El Salvador,U.S. Border Patrol,Single Adults,all
2022 (FYTD),2022 (FYTD),MAY,MAY,"4,555",El Salvador,U.S. Border Patrol,Single Adults,all
2019,2019,APR,APR,"2,289",El Salvador,U.S. Border Patrol,Single Adults,all
2020,2020,APR,APR,471,El Salvador,U.S. Border Patrol,Single Adults,all
2021,2021,APR,APR,"4,450",El Salvador,U.S. Border Patrol,Single Adults,all
2022 (FYTD),2022 (FYTD),APR,APR,"4,885",El Salvador,U.S. Border Patrol,Single Adults,all
2019,2019,MAR,MAR,"2,219",El Salvador,U.S. Border Patrol,Single Adults,all
2020,2020,MAR,MAR,828,El Salvador,U.S. Border Patrol,Single Adults,all
2021,2021,MAR,MAR,"3,723",El Salvador,U.S. Border Patrol,Single Adults,all
2022 (FYTD),2022 (FYTD),MAR,MAR,"4,958",El Salvador,U.S. Border Patrol,Single Adults,all
2019,2019,FEB,FEB,"1,602",El Salvador,U.S. Border Patrol,Single Adults,all
2020,2020,FEB,FEB,849,El Salvador,U.S. Border Patrol,Single Adults,all
2021,2021,FEB,FEB,"2,957",El Salvador,U.S. Border Patrol,Single Adults,all
2022 (FYTD),2022 (FYTD),FEB,FEB,"4,360",El Salvador,U.S. Border Patrol,Single Adults,all
2019,2019,JAN,JAN,"1,023",El Salvador,U.S. Border Patrol,Single Adults,all
2020,2020,JAN,JAN,666,El Salvador,U.S. Border Patrol,Single Adults,all
2021,2021,JAN,JAN,"2,643",El Salvador,U.S. Border Patrol,Single Adults,all
2022 (FYTD),2022 (FYTD),JAN,JAN,"3,462",El Salvador,U.S. Border Patrol,Single Adults,all
2019,2019,DEC,DEC,"1,311",El Salvador,U.S. Border Patrol,Single Adults,all
2020,2020,DEC,DEC,916,El Salvador,U.S. Border Patrol,Single Adults,all
2021,2021,DEC,DEC,"3,082",El Salvador,U.S. Border Patrol,Single Adults,all
2022 (FYTD),2022 (FYTD),DEC,DEC,"4,489",El Salvador,U.S. Border Patrol,Single Adults,all
2019,2019,NOV,NOV,"1,508",El Salvador,U.S. Border Patrol,Single Adults,all
2020,2020,NOV,NOV,923,El Salvador,U.S. Border Patrol,Single Adults,all
2021,2021,NOV,NOV,"2,850",El Salvador,U.S. Border Patrol,Single Adults,all
2022 (FYTD),2022 (FYTD),NOV,NOV,"4,021",El Salvador,U.S. Border Patrol,Single Adults,all
2019,2019,OCT,OCT,"1,340",El Salvador,U.S. Border Patrol,Single Adults,all
2020,2020,OCT,OCT,981,El Salvador,U.S. Border Patrol,Single Adults,all
2021,2021,OCT,OCT,"2,124",El Salvador,U.S. Border Patrol,Single Adults,all
2022 (FYTD),2022 (FYTD),OCT,OCT,"3,994",El Salvador,U.S. Border Patrol,Single Adults,all
2019,2019,SEP,SEP,"1,089",El Salvador,U.S. Border Patrol,Single Adults,Title 8
2020,2020,SEP,SEP,93,El Salvador,U.S. Border Patrol,Single Adults,Title 8
2021,2021,SEP,SEP,177,El Salvador,U.S. Border Patrol,Single Adults,Title 8
2019,2019,AUG,AUG,"1,516",El Salvador,U.S. Border Patrol,Single Adults,Title 8
2020,2020,AUG,AUG,74,El Salvador,U.S. Border Patrol,Single Adults,Title 8
2021,2021,AUG,AUG,208,El Salvador,U.S. Border Patrol,Single Adults,Title 8
2022 (FYTD),2022 (FYTD),AUG,AUG,433,El Salvador,U.S. Border Patrol,Single Adults,Title 8
2019,2019,JUL,JUL,"1,791",El Salvador,U.S. Border Patrol,Single Adults,Title 8
2020,2020,JUL,JUL,51,El Salvador,U.S. Border Patrol,Single Adults,Title 8
2021,2021,JUL,JUL,215,El Salvador,U.S. Border Patrol,Single Adults,Title 8
2022 (FYTD),2022 (FYTD),JUL,JUL,428,El Salvador,U.S. Border Patrol,Single Adults,Title 8
2019,2019,JUN,JUN,"2,312",El Salvador,U.S. Border Patrol,Single Adults,Title 8
2020,2020,JUN,JUN,29,El Salvador,U.S. Border Patrol,Single Adults,Title 8
2021,2021,JUN,JUN,192,El Salvador,U.S. Border Patrol,Single Adults,Title 8
2022 (FYTD),2022 (FYTD),JUN,JUN,501,El Salvador,U.S. Border Patrol,Single Adults,Title 8
2019,2019,MAY,MAY,"2,893",El Salvador,U.S. Border Patrol,Single Adults,Title 8
2020,2020,MAY,MAY,28,El Salvador,U.S. Border Patrol,Single Adults,Title 8
2021,2021,MAY,MAY,216,El Salvador,U.S. Border Patrol,Single Adults,Title 8
2022 (FYTD),2022 (FYTD),MAY,MAY,343,El Salvador,U.S. Border Patrol,Single Adults,Title 8
2019,2019,APR,APR,"2,289",El Salvador,U.S. Border Patrol,Single Adults,Title 8
2020,2020,APR,APR,26,El Salvador,U.S. Border Patrol,Single Adults,Title 8
2021,2021,APR,APR,180,El Salvador,U.S. Border Patrol,Single Adults,Title 8
2022 (FYTD),2022 (FYTD),APR,APR,536,El Salvador,U.S. Border Patrol,Single Adults,Title 8
2019,2019,MAR,MAR,"2,219",El Salvador,U.S. Border Patrol,Single Adults,Title 8
2020,2020,MAR,MAR,585,El Salvador,U.S. Border Patrol,Single Adults,Title 8
2021,2021,MAR,MAR,151,El Salvador,U.S. Border Patrol,Single Adults,Title 8
2022 (FYTD),2022 (FYTD),MAR,MAR,218,El Salvador,U.S. Border Patrol,Single Adults,Title 8
2019,2019,FEB,FEB,"1,602",El Salvador,U.S. Border Patrol,Single Adults,Title 8
2020,2020,FEB,FEB,849,El Salvador,U.S. Border Patrol,Single Adults,Title 8
2021,2021,FEB,FEB,118,El Salvador,U.S. Border Patrol,Single Adults,Title 8
2022 (FYTD),2022 (FYTD),FEB,FEB,198,El Salvador,U.S. Border Patrol,Single Adults,Title 8
2019,2019,JAN,JAN,"1,023",El Salvador,U.S. Border Patrol,Single Adults,Title 8
2020,2020,JAN,JAN,666,El Salvador,U.S. Border Patrol,Single Adults,Title 8
2021,2021,JAN,JAN,108,El Salvador,U.S. Border Patrol,Single Adults,Title 8
2022 (FYTD),2022 (FYTD),JAN,JAN,155,El Salvador,U.S. Border Patrol,Single Adults,Title 8
2019,2019,DEC,DEC,"1,311",El Salvador,U.S. Border Patrol,Single Adults,Title 8
2020,2020,DEC,DEC,916,El Salvador,U.S. Border Patrol,Single Adults,Title 8
2021,2021,DEC,DEC,108,El Salvador,U.S. Border Patrol,Single Adults,Title 8
2022 (FYTD),2022 (FYTD),DEC,DEC,179,El Salvador,U.S. Border Patrol,Single Adults,Title 8
2019,2019,NOV,NOV,"1,508",El Salvador,U.S. Border Patrol,Single Adults,Title 8
2020,2020,NOV,NOV,923,El Salvador,U.S. Border Patrol,Single Adults,Title 8
2021,2021,NOV,NOV,113,El Salvador,U.S. Border Patrol,Single Adults,Title 8
2022 (FYTD),2022 (FYTD),NOV,NOV,195,El Salvador,U.S. Border Patrol,Single Adults,Title 8
2019,2019,OCT,OCT,"1,340",El Salvador,U.S. Border Patrol,Single Adults,Title 8
2020,2020,OCT,OCT,981,El Salvador,U.S. Border Patrol,Single Adults,Title 8
2021,2021,OCT,OCT,112,El Salvador,U.S. Border Patrol,Single Adults,Title 8
2022 (FYTD),2022 (FYTD),OCT,OCT,213,El Salvador,U.S. Border Patrol,Single Adults,Title 8
2020,2020,SEP,SEP,"1,572",El Salvador,U.S. Border Patrol,Single Adults,Title 42
2021,2021,SEP,SEP,"3,992",El Salvador,U.S. Border Patrol,Single Adults,Title 42
2020,2020,AUG,AUG,"1,072",El Salvador,U.S. Border Patrol,Single Adults,Title 42
2021,2021,AUG,AUG,"3,619",El Salvador,U.S. Border Patrol,Single Adults,Title 42
2022 (FYTD),2022 (FYTD),AUG,AUG,"3,216",El Salvador,U.S. Border Patrol,Single Adults,Title 42
2020,2020,JUL,JUL,657,El Salvador,U.S. Border Patrol,Single Adults,Title 42
2021,2021,JUL,JUL,"4,254",El Salvador,U.S. Border Patrol,Single Adults,Title 42
2022 (FYTD),2022 (FYTD),JUL,JUL,"3,876",El Salvador,U.S. Border Patrol,Single Adults,Title 42
2020,2020,JUN,JUN,403,El Salvador,U.S. Border Patrol,Single Adults,Title 42
2021,2021,JUN,JUN,"5,018",El Salvador,U.S. Border Patrol,Single Adults,Title 42
2022 (FYTD),2022 (FYTD),JUN,JUN,"4,013",El Salvador,U.S. Border Patrol,Single Adults,Title 42
2020,2020,MAY,MAY,347,El Salvador,U.S. Border Patrol,Single Adults,Title 42
2021,2021,MAY,MAY,"4,982",El Salvador,U.S. Border Patrol,Single Adults,Title 42
2022 (FYTD),2022 (FYTD),MAY,MAY,"4,212",El Salvador,U.S. Border Patrol,Single Adults,Title 42
2020,2020,APR,APR,445,El Salvador,U.S. Border Patrol,Single Adults,Title 42
2021,2021,APR,APR,"4,270",El Salvador,U.S. Border Patrol,Single Adults,Title 42
2022 (FYTD),2022 (FYTD),APR,APR,"4,349",El Salvador,U.S. Border Patrol,Single Adults,Title 42
2020,2020,MAR,MAR,243,El Salvador,U.S. Border Patrol,Single Adults,Title 42
2021,2021,MAR,MAR,"3,572",El Salvador,U.S. Border Patrol,Single Adults,Title 42
2022 (FYTD),2022 (FYTD),MAR,MAR,"4,740",El Salvador,U.S. Border Patrol,Single Adults,Title 42
2021,2021,FEB,FEB,"2,839",El Salvador,U.S. Border Patrol,Single Adults,Title 42
2022 (FYTD),2022 (FYTD),FEB,FEB,"4,162",El Salvador,U.S. Border Patrol,Single Adults,Title 42
2021,2021,JAN,JAN,"2,535",El Salvador,U.S. Border Patrol,Single Adults,Title 42
2022 (FYTD),2022 (FYTD),JAN,JAN,"3,307",El Salvador,U.S. Border Patrol,Single Adults,Title 42
2021,2021,DEC,DEC,"2,974",El Salvador,U.S. Border Patrol,Single Adults,Title 42
2022 (FYTD),2022 (FYTD),DEC,DEC,"4,310",El Salvador,U.S. Border Patrol,Single Adults,Title 42
2021,2021,NOV,NOV,"2,737",El Salvador,U.S. Border Patrol,Single Adults,Title 42
2022 (FYTD),2022 (FYTD),NOV,NOV,"3,826",El Salvador,U.S. Border Patrol,Single Adults,Title 42
2021,2021,OCT,OCT,"2,012",El Salvador,U.S. Border Patrol,Single Adults,Title 42
2022 (FYTD),2022 (FYTD),OCT,OCT,"3,781",El Salvador,U.S. Border Patrol,Single Adults,Title 42
2019,2019,SEP,SEP,427,El Salvador,U.S. Border Patrol,UC / Single Minors,all
2020,2020,SEP,SEP,225,El Salvador,U.S. Border Patrol,UC / Single Minors,all
2021,2021,SEP,SEP,"1,904",El Salvador,U.S. Border Patrol,UC / Single Minors,all
2019,2019,AUG,AUG,632,El Salvador,U.S. Border Patrol,UC / Single Minors,all
2020,2020,AUG,AUG,143,El Salvador,U.S. Border Patrol,UC / Single Minors,all
2021,2021,AUG,AUG,"2,105",El Salvador,U.S. Border Patrol,UC / Single Minors,all
2022 (FYTD),2022 (FYTD),AUG,AUG,"1,139",El Salvador,U.S. Border Patrol,UC / Single Minors,all
2019,2019,JUL,JUL,"1,148",El Salvador,U.S. Border Patrol,UC / Single Minors,all
2020,2020,JUL,JUL,93,El Salvador,U.S. Border Patrol,UC / Single Minors,all
2021,2021,JUL,JUL,"2,111",El Salvador,U.S. Border Patrol,UC / Single Minors,all
2022 (FYTD),2022 (FYTD),JUL,JUL,"1,311",El Salvador,U.S. Border Patrol,UC / Single Minors,all
2019,2019,JUN,JUN,"1,545",El Salvador,U.S. Border Patrol,UC / Single Minors,all
2020,2020,JUN,JUN,38,El Salvador,U.S. Border Patrol,UC / Single Minors,all
2021,2021,JUN,JUN,"1,840",El Salvador,U.S. Border Patrol,UC / Single Minors,all
2022 (FYTD),2022 (FYTD),JUN,JUN,"1,571",El Salvador,U.S. Border Patrol,UC / Single Minors,all
2019,2019,MAY,MAY,"2,156",El Salvador,U.S. Border Patrol,UC / Single Minors,all
2020,2020,MAY,MAY,10,El Salvador,U.S. Border Patrol,UC / Single Minors,all
2021,2021,MAY,MAY,"1,658",El Salvador,U.S. Border Patrol,UC / Single Minors,all
2022 (FYTD),2022 (FYTD),MAY,MAY,"1,610",El Salvador,U.S. Border Patrol,UC / Single Minors,all
2019,2019,APR,APR,"1,632",El Salvador,U.S. Border Patrol,UC / Single Minors,all
2020,2020,APR,APR,22,El Salvador,U.S. Border Patrol,UC / Single Minors,all
2021,2021,APR,APR,"2,090",El Salvador,U.S. Border Patrol,UC / Single Minors,all
2022 (FYTD),2022 (FYTD),APR,APR,"1,275",El Salvador,U.S. Border Patrol,UC / Single Minors,all
2019,2019,MAR,MAR,"1,364",El Salvador,U.S. Border Patrol,UC / Single Minors,all
2020,2020,MAR,MAR,254,El Salvador,U.S. Border Patrol,UC / Single Minors,all
2021,2021,MAR,MAR,"1,580",El Salvador,U.S. Border Patrol,UC / Single Minors,all
2022 (FYTD),2022 (FYTD),MAR,MAR,"1,469",El Salvador,U.S. Border Patrol,UC / Single Minors,all
2019,2019,FEB,FEB,824,El Salvador,U.S. Border Patrol,UC / Single Minors,all
2020,2020,FEB,FEB,269,El Salvador,U.S. Border Patrol,UC / Single Minors,all
2021,2021,FEB,FEB,767,El Salvador,U.S. Border Patrol,UC / Single Minors,all
2022 (FYTD),2022 (FYTD),FEB,FEB,"1,129",El Salvador,U.S. Border Patrol,UC / Single Minors,all
2019,2019,JAN,JAN,565,El Salvador,U.S. Border Patrol,UC / Single Minors,all
2020,2020,JAN,JAN,215,El Salvador,U.S. Border Patrol,UC / Single Minors,all
2021,2021,JAN,JAN,386,El Salvador,U.S. Border Patrol,UC / Single Minors,all
2022 (FYTD),2022 (FYTD),JAN,JAN,942,El Salvador,U.S. Border Patrol,UC / Single Minors,all
2019,2019,DEC,DEC,435,El Salvador,U.S. Border Patrol,UC / Single Minors,all
2020,2020,DEC,DEC,279,El Salvador,U.S. Border Patrol,UC / Single Minors,all
2021,2021,DEC,DEC,355,El Salvador,U.S. Border Patrol,UC / Single Minors,all
2022 (FYTD),2022 (FYTD),DEC,DEC,"1,342",El Salvador,U.S. Border Patrol,UC / Single Minors,all
2019,2019,NOV,NOV,657,El Salvador,U.S. Border Patrol,UC / Single Minors,all
2020,2020,NOV,NOV,295,El Salvador,U.S. Border Patrol,UC / Single Minors,all
2021,2021,NOV,NOV,344,El Salvador,U.S. Border Patrol,UC / Single Minors,all
2022 (FYTD),2022 (FYTD),NOV,NOV,"1,730",El Salvador,U.S. Border Patrol,UC / Single Minors,all
2019,2019,OCT,OCT,636,El Salvador,U.S. Border Patrol,UC / Single Minors,all
2020,2020,OCT,OCT,346,El Salvador,U.S. Border Patrol,UC / Single Minors,all
2021,2021,OCT,OCT,333,El Salvador,U.S. Border Patrol,UC / Single Minors,all
2022 (FYTD),2022 (FYTD),OCT,OCT,"1,664",El Salvador,U.S. Border Patrol,UC / Single Minors,all
2019,2019,SEP,SEP,427,El Salvador,U.S. Border Patrol,UC / Single Minors,Title 8
2020,2020,SEP,SEP,150,El Salvador,U.S. Border Patrol,UC / Single Minors,Title 8
2021,2021,SEP,SEP,"1,903",El Salvador,U.S. Border Patrol,UC / Single Minors,Title 8
2019,2019,AUG,AUG,632,El Salvador,U.S. Border Patrol,UC / Single Minors,Title 8
2020,2020,AUG,AUG,65,El Salvador,U.S. Border Patrol,UC / Single Minors,Title 8
2021,2021,AUG,AUG,"2,105",El Salvador,U.S. Border Patrol,UC / Single Minors,Title 8
2022 (FYTD),2022 (FYTD),AUG,AUG,"1,139",El Salvador,U.S. Border Patrol,UC / Single Minors,Title 8
2019,2019,JUL,JUL,"1,148",El Salvador,U.S. Border Patrol,UC / Single Minors,Title 8
2020,2020,JUL,JUL,13,El Salvador,U.S. Border Patrol,UC / Single Minors,Title 8
2021,2021,JUL,JUL,"2,111",El Salvador,U.S. Border Patrol,UC / Single Minors,Title 8
2022 (FYTD),2022 (FYTD),JUL,JUL,"1,311",El Salvador,U.S. Border Patrol,UC / Single Minors,Title 8
2019,2019,JUN,JUN,"1,545",El Salvador,U.S. Border Patrol,UC / Single Minors,Title 8
2020,2020,JUN,JUN,10,El Salvador,U.S. Border Patrol,UC / Single Minors,Title 8
2021,2021,JUN,JUN,"1,840",El Salvador,U.S. Border Patrol,UC / Single Minors,Title 8
2022 (FYTD),2022 (FYTD),JUN,JUN,"1,571",El Salvador,U.S. Border Patrol,UC / Single Minors,Title 8
2019,2019,MAY,MAY,"2,156",El Salvador,U.S. Border Patrol,UC / Single Minors,Title 8
2020,2020,MAY,MAY,1,El Salvador,U.S. Border Patrol,UC / Single Minors,Title 8
2021,2021,MAY,MAY,"1,658",El Salvador,U.S. Border Patrol,UC / Single Minors,Title 8
2022 (FYTD),2022 (FYTD),MAY,MAY,"1,610",El Salvador,U.S. Border Patrol,UC / Single Minors,Title 8
2019,2019,APR,APR,"1,632",El Salvador,U.S. Border Patrol,UC / Single Minors,Title 8
2020,2020,APR,APR,6,El Salvador,U.S. Border Patrol,UC / Single Minors,Title 8
2021,2021,APR,APR,"2,089",El Salvador,U.S. Border Patrol,UC / Single Minors,Title 8
2022 (FYTD),2022 (FYTD),APR,APR,"1,275",El Salvador,U.S. Border Patrol,UC / Single Minors,Title 8
2019,2019,MAR,MAR,"1,364",El Salvador,U.S. Border Patrol,UC / Single Minors,Title 8
2020,2020,MAR,MAR,234,El Salvador,U.S. Border Patrol,UC / Single Minors,Title 8
2021,2021,MAR,MAR,"1,580",El Salvador,U.S. Border Patrol,UC / Single Minors,Title 8
2022 (FYTD),2022 (FYTD),MAR,MAR,"1,469",El Salvador,U.S. Border Patrol,UC / Single Minors,Title 8
2019,2019,FEB,FEB,824,El Salvador,U.S. Border Patrol,UC / Single Minors,Title 8
2020,2020,FEB,FEB,269,El Salvador,U.S. Border Patrol,UC / Single Minors,Title 8
2021,2021,FEB,FEB,767,El Salvador,U.S. Border Patrol,UC / Single Minors,Title 8
2022 (FYTD),2022 (FYTD),FEB,FEB,"1,129",El Salvador,U.S. Border Patrol,UC / Single Minors,Title 8
2019,2019,JAN,JAN,565,El Salvador,U.S. Border Patrol,UC / Single Minors,Title 8
2020,2020,JAN,JAN,215,El Salvador,U.S. Border Patrol,UC / Single Minors,Title 8
2021,2021,JAN,JAN,386,El Salvador,U.S. Border Patrol,UC / Single Minors,Title 8
2022 (FYTD),2022 (FYTD),JAN,JAN,942,El Salvador,U.S. Border Patrol,UC / Single Minors,Title 8
2019,2019,DEC,DEC,435,El Salvador,U.S. Border Patrol,UC / Single Minors,Title 8
2020,2020,DEC,DEC,279,El Salvador,U.S. Border Patrol,UC / Single Minors,Title 8
2021,2021,DEC,DEC,355,El Salvador,U.S. Border Patrol,UC / Single Minors,Title 8
2022 (FYTD),2022 (FYTD),DEC,DEC,"1,341",El Salvador,U.S. Border Patrol,UC / Single Minors,Title 8
2019,2019,NOV,NOV,657,El Salvador,U.S. Border Patrol,UC / Single Minors,Title 8
2020,2020,NOV,NOV,295,El Salvador,U.S. Border Patrol,UC / Single Minors,Title 8
2021,2021,NOV,NOV,280,El Salvador,U.S. Border Patrol,UC / Single Minors,Title 8
